current_impl	-	adapters/current_impl.py	-
new_impl	-	adapters/new_impl.py	-
mutant	-	mutant.py	-
opp_homerun	item_2/c91	opponents/homerun_adapter.py	91
opp_mlflow	item_3/mlflow	opponents/mlflow_adapter.py	-
opp_freqtrade	item_3/freqtrade	opponents/freqtrade_adapter.py	75
opp_pysystemtrade	item_1/c3	opponents/pysystemtrade_adapter.py	3
opp_luczinsritter	item_3/c16	opponents/luczinsritter_adapter.py	16
opp_polymarket_fill	item_2/c95	opponents/polymarket_fill_adapter.py	95
opp_mihircoding_lob	item_2/c98	opponents/mihircoding_lob_adapter.py	98
opp_isaaccheng_obsim	-	opponents/isaaccheng_obsim_adapter.py	103
opp_sigc	-	opponents/sigc_adapter.py	107
opp_pybotters	item_0/pybotters	opponents/pybotters_adapter.py	12
opp_repro_15	-	opponents/repro_15_backtestingcore.py	15
opp_repro_88	-	opponents/repro_88_tradesight.py	88
