target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1	choose	settings_1	types_1	types_in	types_added	requests
current_impl	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""book_snapshot"", 1700092800000000000], [""trade"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""book_snapshot"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 ['bar'] は 1 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 正解と一致 / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	{}	[]	null	[]	[]	[]
current_impl	p1-one-call-per-event	P0-1	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000], ""raw"": {""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}}"	ok	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000], ""raw"": {""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}}"	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000]}"	足 5 本を DataFrame で渡し、on_candles の各呼び出しで candles の最後の行の時刻を記録	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/home/user/trade/src/bot/backtest/engine.py""], ""reached_by"": null, ""read_in_call_by"": null, ""read_in_user_loop"": null, ""returned_by"": null, ""type"": ""pandas.DataFrame"", ""type_file"": ""/usr/local/lib/python3.11/dist-packages/pandas/__init__.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/home/user/trade/src/bot/backtest/engine.py""], ""reached_by"": null, ""read_in_call_by"": null, ""read_in_user_loop"": null, ""returned_by"": null, ""type"": ""pandas.DataFrame"", ""type_file"": ""/usr/local/lib/python3.11/dist-packages/pandas/__init__.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/home/user/trade/src/bot/backtest/engine.py""], ""reached_by"": null, ""read_in_call_by"": null, ""read_in_user_loop"": null, ""returned_by"": null, ""type"": ""pandas.DataFrame"", ""type_file"": ""/usr/local/lib/python3.11/dist-packages/pandas/__init__.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/home/user/trade/src/bot/backtest/engine.py""], ""reached_by"": null, ""read_in_call_by"": null, ""read_in_user_loop"": null, ""returned_by"": null, ""type"": ""pandas.DataFrame"", ""type_file"": ""/usr/local/lib/python3.11/dist-packages/pandas/__init__.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/home/user/trade/src/bot/backtest/engine.py""], ""reached_by"": null, ""read_in_call_by"": null, ""read_in_user_loop"": null, ""returned_by"": null, ""type"": ""pandas.DataFrame"", ""type_file"": ""/usr/local/lib/python3.11/dist-packages/pandas/__init__.py""}]}"	{}	"[{""at"": ""backtest/engine.py:134"", ""decided_from"": [""場面の入力""], ""fn"": ""bot.backtest.engine.run_backtest"", ""what"": ""run_backtest(strategy, candles=場面の事象の足の DataFrame)"", ""when"": ""開始前""}]"	null	"[""足""]"	[]	[]
current_impl	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 ['bar'] は 1 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 正解と一致 / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	{}	[]	null	[]	[]	[]
current_impl	p2-iso-utc	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	時刻の文字列を変換する入口が無い(当方のデータの道 scripts/run_backtest.py は pd.read_csv のあと変換せずに渡す)。試したこと: 添字が ISO の文字列の candles を run_backtest に渡した -> 戦略に届いた添字 ['2024-01-01T00:00:00.123456789Z'](型 ['str']。変換されずに文字列のまま)	null	{}	[]	null	[]	[]	[]
current_impl	p2-iso-offset	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	時刻の文字列を変換する入口が無い(当方のデータの道 scripts/run_backtest.py は pd.read_csv のあと変換せずに渡す)。試したこと: 添字が ISO の文字列の candles を run_backtest に渡した -> 戦略に届いた添字 ['2024-01-01T09:00:00.123456789+09:00'](型 ['str']。変換されずに文字列のまま)	null	{}	[]	null	[]	[]	[]
current_impl	p2-event-time-exact	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400123456789]}"	ok	"{""observed_ts_ns"": [1700006400123456789]}"	"{""observed_ts_ns"": [1700006400123456789]}"	足(OHLC=100)で渡し、各呼び出しの candles.index[-1].value を記録	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/home/user/trade/src/bot/backtest/engine.py""], ""reached_by"": null, ""read_in_call_by"": null, ""read_in_user_loop"": null, ""returned_by"": null, ""type"": ""pandas.DataFrame"", ""type_file"": ""/usr/local/lib/python3.11/dist-packages/pandas/__init__.py""}]}"	{}	"[{""at"": ""backtest/engine.py:134"", ""decided_from"": [""場面の入力""], ""fn"": ""bot.backtest.engine.run_backtest"", ""what"": ""run_backtest(strategy, candles=場面の事象の足の DataFrame)"", ""when"": ""開始前""}]"	null	[]	[]	[]
current_impl	p2-one-ns-apart	P0-2	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	足(OHLC=100)で渡し、各呼び出しの candles.index[-1].value を記録	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/home/user/trade/src/bot/backtest/engine.py""], ""reached_by"": null, ""read_in_call_by"": null, ""read_in_user_loop"": null, ""returned_by"": null, ""type"": ""pandas.DataFrame"", ""type_file"": ""/usr/local/lib/python3.11/dist-packages/pandas/__init__.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/home/user/trade/src/bot/backtest/engine.py""], ""reached_by"": null, ""read_in_call_by"": null, ""read_in_user_loop"": null, ""returned_by"": null, ""type"": ""pandas.DataFrame"", ""type_file"": ""/usr/local/lib/python3.11/dist-packages/pandas/__init__.py""}]}"	{}	"[{""at"": ""backtest/engine.py:134"", ""decided_from"": [""場面の入力""], ""fn"": ""bot.backtest.engine.run_backtest"", ""what"": ""run_backtest(strategy, candles=場面の事象の足の DataFrame)"", ""when"": ""開始前""}]"	null	[]	[]	[]
current_impl	p2-s-text	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""int64_ns"": 1704067200123456789}"	単位 s の時刻を str で読む入口が無い(この道具の時刻の入口: 無し)。単位を受ける引数も変換も無い(run_backtest の入力は candles の DataFrame だけ)。試したこと: 添字が '1704067200.123456789' の candles を run_backtest に渡した -> 戦略に届いた添字 ['1704067200.123456789'](型 ['str']。単位の変換はされない)	null	{}	[]	null	[]	[]	[]
current_impl	p2-s-text-subns	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""int64_ns"": ""無い(入力が持つ値にナノ秒より細かい端数がある。どの整数も入力と違う時刻)"", ""refused_by_entry"": true}"	単位 s の時刻を str で読む入口が無い(この道具の時刻の入口: 無し)。単位を受ける引数も変換も無い(run_backtest の入力は candles の DataFrame だけ)。試したこと: 添字が '1704067200.1234567891' の candles を run_backtest に渡した -> 戦略に届いた添字 ['1704067200.1234567891'](型 ['str']。単位の変換はされない)	null	{}	[]	null	[]	[]	[]
current_impl	p2-s-int	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""int64_ns"": 1704067200000000000}"	単位 s の時刻を int で読む入口が無い(この道具の時刻の入口: 無し)。単位を受ける引数も変換も無い(run_backtest の入力は candles の DataFrame だけ)。試したこと: 添字が 1704067200 の candles を run_backtest に渡した -> 戦略に届いた添字 [np.int64(1704067200)](型 ['int64']。単位の変換はされない)	null	{}	[]	null	[]	[]	[]
