target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1	choose	settings_1	types_1
opp_daniyalmlk_slippage	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""book_snapshot"", 1700092800000000000], [""trade"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""book_snapshot"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 対応なし / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	{}	[]	null
opp_daniyalmlk_slippage	p1-one-call-per-event	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000]}"	この道具は執行の費用の分析(影響の模型・費用の分布・CSV の読み込み)で、事象を流して戦略を呼ぶ機関・注文・約定・通知・時計・遅延・口座が無い。試したこと: simulate_costs(LinearImpact(0, 0), [1.0], tau=1, volatility=0, paths=4) -> 平均 0.0; slippage の公開の名前 ['Aggregate', 'Bar', 'BarSeries', 'Benchmark', 'CalibrationError', 'ConvergenceError', 'CostDistribution', 'DelayBasis', 'Estimate', 'ExecutionProblem', 'ExecutionSample', 'Fill', 'FillAttribution', 'HalfLifeSensitivity', 'IdentifiabilityWarning', 'ImpactModel', 'InputError', 'InsufficientDataError', 'LinearImpact', 'LinearTemporaryFit', 'ModelComparison', 'NoVolumeError', 'Order', 'OrderReport', 'PovSchedule', 'PowerLawFit', 'PowerLawImpact', 'ScheduleCost', 'SchedulePlan', 'Score', 'ShortfallBreakdown', 'Side', 'SlippageError', 'SquareRootLaw', 'SyntheticBook', 'TcaReport', 'Trajectory', 'ValidationError', 'VolumeProfile', 'annotations']	null	{}	[]	null
opp_daniyalmlk_slippage	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 対応なし / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	{}	[]	null
opp_daniyalmlk_slippage	p2-iso-utc	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	1704067200123456000	ok	1704067200123456000	1704067200123456789	bars.csv の timestamp に ISO を書き、slippage.io.load_bars(datetime.fromisoformat で読む)の Bar.timestamp を ns にした	"{""reader"": ""slippage.io.load_bars""}"	{}	[]	null
opp_daniyalmlk_slippage	p2-iso-offset	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	1704067200123456000	ok	1704067200123456000	1704067200123456789	bars.csv の timestamp に ISO を書き、slippage.io.load_bars(datetime.fromisoformat で読む)の Bar.timestamp を ns にした	"{""reader"": ""slippage.io.load_bars""}"	{}	[]	null
opp_daniyalmlk_slippage	p2-event-time-exact	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400123456789]}"	この道具は執行の費用の分析(影響の模型・費用の分布・CSV の読み込み)で、事象を流して戦略を呼ぶ機関・注文・約定・通知・時計・遅延・口座が無い(戦略に事象を渡す口が無く、戦略が受け取った時刻が無い)。試したこと: 事象の時刻を 9 桁の小数の ISO にして bars.csv に書き(['2023-11-15T00:00:00.123456789+00:00'])、load_bars が持った Bar.timestamp は [1700006400123456000]	null	{}	[]	null
opp_daniyalmlk_slippage	p2-one-ns-apart	P0-2	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	load_bars(timestamp=['2023-11-15T00:00:00.000000000+00:00', '2023-11-15T00:00:00.000000001+00:00']) -> InputError: /tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/tmptobt9x_w/bars.csv: X: duplicate bar timestamp datetime.datetime(2023, 11, 1	null	{}	[]	null
opp_daniyalmlk_slippage	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	この道具は執行の費用の分析(影響の模型・費用の分布・CSV の読み込み)で、事象を流して戦略を呼ぶ機関・注文・約定・通知・時計・遅延・口座が無い。試したこと: simulate_costs(LinearImpact(0, 0), [1.0], tau=1, volatility=0, paths=4) -> 平均 0.0; slippage の公開の名前 ['Aggregate', 'Bar', 'BarSeries', 'Benchmark', 'CalibrationError', 'ConvergenceError', 'CostDistribution', 'DelayBasis', 'Estimate', 'ExecutionProblem', 'ExecutionSample', 'Fill', 'FillAttribution', 'HalfLifeSensitivity', 'IdentifiabilityWarning', 'ImpactModel', 'InputError', 'InsufficientDataError', 'LinearImpact', 'LinearTemporaryFit', 'ModelComparison', 'NoVolumeError', 'Order', 'OrderReport', 'PovSchedule', 'PowerLawFit', 'PowerLawImpact', 'ScheduleCost', 'SchedulePlan', 'Score', 'ShortfallBreakdown', 'Side', 'SlippageError', 'SquareRootLaw', 'SyntheticBook', 'TcaReport', 'Trajectory', 'ValidationError', 'VolumeProfile', 'annotations']	null	{}	[]	null
opp_daniyalmlk_slippage	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	この道具は執行の費用の分析(影響の模型・費用の分布・CSV の読み込み)で、事象を流して戦略を呼ぶ機関・注文・約定・通知・時計・遅延・口座が無い。試したこと: simulate_costs(LinearImpact(0, 0), [1.0], tau=1, volatility=0, paths=4) -> 平均 0.0; slippage の公開の名前 ['Aggregate', 'Bar', 'BarSeries', 'Benchmark', 'CalibrationError', 'ConvergenceError', 'CostDistribution', 'DelayBasis', 'Estimate', 'ExecutionProblem', 'ExecutionSample', 'Fill', 'FillAttribution', 'HalfLifeSensitivity', 'IdentifiabilityWarning', 'ImpactModel', 'InputError', 'InsufficientDataError', 'LinearImpact', 'LinearTemporaryFit', 'ModelComparison', 'NoVolumeError', 'Order', 'OrderReport', 'PovSchedule', 'PowerLawFit', 'PowerLawImpact', 'ScheduleCost', 'SchedulePlan', 'Score', 'ShortfallBreakdown', 'Side', 'SlippageError', 'SquareRootLaw', 'SyntheticBook', 'TcaReport', 'Trajectory', 'ValidationError', 'VolumeProfile', 'annotations']	null	{}	[]	null
opp_daniyalmlk_slippage	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	この道具は執行の費用の分析(影響の模型・費用の分布・CSV の読み込み)で、事象を流して戦略を呼ぶ機関・注文・約定・通知・時計・遅延・口座が無い。試したこと: simulate_costs(LinearImpact(0, 0), [1.0], tau=1, volatility=0, paths=4) -> 平均 0.0; slippage の公開の名前 ['Aggregate', 'Bar', 'BarSeries', 'Benchmark', 'CalibrationError', 'ConvergenceError', 'CostDistribution', 'DelayBasis', 'Estimate', 'ExecutionProblem', 'ExecutionSample', 'Fill', 'FillAttribution', 'HalfLifeSensitivity', 'IdentifiabilityWarning', 'ImpactModel', 'InputError', 'InsufficientDataError', 'LinearImpact', 'LinearTemporaryFit', 'ModelComparison', 'NoVolumeError', 'Order', 'OrderReport', 'PovSchedule', 'PowerLawFit', 'PowerLawImpact', 'ScheduleCost', 'SchedulePlan', 'Score', 'ShortfallBreakdown', 'Side', 'SlippageError', 'SquareRootLaw', 'SyntheticBook', 'TcaReport', 'Trajectory', 'ValidationError', 'VolumeProfile', 'annotations']	null	{}	[]	null
